223	128	201	203	81	252	155	114	45	101	170	240	97	94	68	247
62	130	249	7	4	152	50	234	39	15	96	243	73	60	29	71
230	0	132	124	227	199	191	103	52	157	145	25	241	127	17	126
104	61	14	33	194	154	66	42	75	161	239	218	54	57	88	141
21	221	164	163	70	235	169	242	204	121	251	100	109	91	214	222
209	233	84	142	207	176	210	139	136	181	150	217	120	224	79	98
236	58	172	134	93	59	231	180	27	253	196	43	226	55	67	92
213	185	6	80	89	32	173	133	8	179	206	2	26	86	82	160
35	188	118	148	219	228	90	232	182	36	116	85	195	238	215	146
135	28	183	131	115	125	187	38	47	76	105	162	198	147	211	107
111	119	192	122	165	30	102	69	255	212	44	40	166	13	87	167
137	83	186	171	229	175	202	246	156	106	78	34	19	225	9	129
205	237	250	74	1	95	51	16	37	31	24	208	178	3	65	11
220	159	56	63	184	138	244	113	254	168	144	20	18	112	245	200
153	72	151	23	149	46	117	158	174	22	10	48	177	140	41	216
110	99	108	190	123	49	143	189	248	5	12	197	64	193	77	53
